ID,Price,Date,Postcode,Type,New,Duration,PAON,Number,Street,NA,City,City2,County,URL
85E9052E-3CC3-4D29-BFF2-01569B7E9629,229950,30/05/2014,CB2 9BP,F,Y,L,,12,KESTREL RISE,TRUMPINGTON,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/85E9052E-3CC3-4D29-BFF2-01569B7E9629/2014-08-00481
038EFE6A-1F9B-4A53-B561-A008C344086C,230950,29/05/2014,CB2 9BP,F,Y,L,,6,KESTREL RISE,TRUMPINGTON,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/038EFE6A-1F9B-4A53-B561-A008C344086C/2014-08-55456
CD029934-B50C-41E9-B720-8A94AA10B234,284950,02/06/2014,CB2 9BP,F,Y,L,,7,KESTREL RISE,TRUMPINGTON,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/CD029934-B50C-41E9-B720-8A94AA10B234/2014-09-00787
775E9464-D644-4915-A76E-38001A75041E,287950,30/05/2014,CB2 9BP,F,Y,L,,8,KESTREL RISE,TRUMPINGTON,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/775E9464-D644-4915-A76E-38001A75041E/2014-08-19355
BED22607-1618-44DA-9847-EA26573A0DAC,230950,30/05/2014,CB2 9BP,F,Y,L,,9,KESTREL RISE,TRUMPINGTON,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/BED22607-1618-44DA-9847-EA26573A0DAC/2014-07-71819
D6CD2E9A-A339-41B1-B2B6-79DCDC07C5F6,419950,30/06/2014,CB2 9BQ,T,Y,F,,1,PIPER ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D6CD2E9A-A339-41B1-B2B6-79DCDC07C5F6/2014-12-37971
390C66E9-4D50-47C2-811A-5553EF33FA5E,439950,30/06/2014,CB2 9BQ,T,Y,F,,5,PIPER ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/390C66E9-4D50-47C2-811A-5553EF33FA5E/2014-08-29389
3391F47E-DA54-43D0-ACC7-E754CBD07423,139500,05/06/2014,CB2 9BS,S,Y,L,,15,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/3391F47E-DA54-43D0-ACC7-E754CBD07423/2014-10-84345
D5349E10-4E29-41D1-9C55-C3080A33D7F3,399950,29/05/2014,CB2 9BS,S,Y,F,,17,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D5349E10-4E29-41D1-9C55-C3080A33D7F3/2014-08-01474
B48CEB98-2DB4-4775-A07A-8B3757753314,399950,29/05/2014,CB2 9BS,S,Y,F,,19,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/B48CEB98-2DB4-4775-A07A-8B3757753314/2014-07-42911
81CEB8E5-7D15-4B94-8E66-67687A92D91B,423950,02/06/2014,CB2 9BS,D,Y,F,,21,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/81CEB8E5-7D15-4B94-8E66-67687A92D91B/2014-07-31902
6318D132-109B-4CDB-9F59-B0F5FF0EE960,423950,30/05/2014,CB2 9BS,D,Y,F,,23,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/6318D132-109B-4CDB-9F59-B0F5FF0EE960/2014-11-63977
B78AE048-1DF4-4430-89C0-C7111503B469,494950,25/04/2014,CB2 9BS,D,Y,F,,25,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/B78AE048-1DF4-4430-89C0-C7111503B469/2014-07-61229
FCBA22D9-425A-45C8-8075-A0FB6260CE0A,494950,25/04/2014,CB2 9BS,D,Y,F,,27,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/FCBA22D9-425A-45C8-8075-A0FB6260CE0A/2014-08-55795
AC79D26B-B64A-4C73-8522-7AE47B8EF01D,499950,25/04/2014,CB2 9BS,D,Y,F,,29,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/AC79D26B-B64A-4C73-8522-7AE47B8EF01D/2014-08-42451
F2336A2C-5326-4510-AE93-69072B8A8980,494950,20/05/2014,CB2 9BS,D,Y,F,,31,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/F2336A2C-5326-4510-AE93-69072B8A8980/2014-07-32376
3D08B372-BF19-47B6-A475-11A061974CC6,137250,19/05/2014,CB2 9BS,T,Y,L,,33,OSPREY DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/3D08B372-BF19-47B6-A475-11A061974CC6/2014-10-06344
1917C169-2069-4D1A-BA74-26FDA4C57A7B,799950,30/06/2014,CB2 9BT,D,Y,F,,2,ONE TREE ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/1917C169-2069-4D1A-BA74-26FDA4C57A7B/2014-09-12589
195659AF-A814-4976-BD03-036E5AFA59EF,909950,26/09/2014,CB2 9BT,D,Y,F,,6,ONE TREE ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/195659AF-A814-4976-BD03-036E5AFA59EF/2014-12-01094
D9048CA9-0C4A-4E8F-B15B-138A0437F61A,832455,27/06/2014,CB2 9BU,D,Y,F,,1,PROCTOR DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D9048CA9-0C4A-4E8F-B15B-138A0437F61A/2014-08-06728
1F862186-0721-4840-9BA5-0E7D507BD101,929950,04/11/2014,CB2 9BU,D,Y,F,,5,PROCTOR DRIVE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/1F862186-0721-4840-9BA5-0E7D507BD101/2015-01-04618
8C2B5540-2A98-401A-A790-B0E14EAEB3E4,309950,25/04/2014,CB2 9BY,F,Y,F,,16,HUNTSMAN ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/8C2B5540-2A98-401A-A790-B0E14EAEB3E4/2014-07-54553
B72CF664-E0D1-4D54-865D-95A58BC52CE8,464950,30/05/2014,CB2 9BY,S,Y,F,,18,HUNTSMAN ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/B72CF664-E0D1-4D54-865D-95A58BC52CE8/2014-07-46187
D8D79B98-290C-45B7-A7C7-075A929235AD,474950,30/05/2014,CB2 9BY,S,Y,F,,20,HUNTSMAN ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D8D79B98-290C-45B7-A7C7-075A929235AD/2014-07-02260
4FCCEC71-66D3-470A-9024-A62500318CC4,474950,29/05/2014,CB2 9BY,S,Y,F,,24,HUNTSMAN ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/4FCCEC71-66D3-470A-9024-A62500318CC4/2014-07-51209
B1ACB285-C2FA-43DC-8AF8-11B22FCB81A0,725000,30/05/2014,CB2 9DD,T,Y,F,,29,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/B1ACB285-C2FA-43DC-8AF8-11B22FCB81A0/2014-09-05670
939DCFE0-FBBE-416A-B62C-0A1E0AC75E5F,925000,28/03/2014,CB2 9DD,T,Y,F,,30,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/939DCFE0-FBBE-416A-B62C-0A1E0AC75E5F/2014-08-03425
EF995EF3-3B92-41E6-9B0B-FA97F3218714,875000,06/06/2014,CB2 9DD,T,Y,F,,31,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/EF995EF3-3B92-41E6-9B0B-FA97F3218714/2014-09-80874
673FAA4B-1E18-4C2C-84BC-7C6059A73DC7,925000,28/03/2014,CB2 9DD,T,Y,F,,32,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/673FAA4B-1E18-4C2C-84BC-7C6059A73DC7/2014-08-42935
D9870482-6484-48A6-90D6-1F4A057553E2,875000,30/04/2014,CB2 9DD,T,Y,F,,33,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D9870482-6484-48A6-90D6-1F4A057553E2/2014-09-10133
6F96AFC9-1C2A-4E88-9E6F-781483CB4F6B,975000,30/04/2014,CB2 9DD,T,Y,F,,34,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/6F96AFC9-1C2A-4E88-9E6F-781483CB4F6B/2014-09-38541
DC5FAC40-6B8B-44A3-ADA3-AE9415DB8955,695000,28/03/2014,CB2 9DD,T,Y,F,,35,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/DC5FAC40-6B8B-44A3-ADA3-AE9415DB8955/2014-08-60495
422264B8-60A7-4F2D-BB7C-27031145C420,1360000,29/08/2014,CB2 9DD,T,Y,F,,37,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/422264B8-60A7-4F2D-BB7C-27031145C420/2014-11-14319
1C152A8A-473F-45E8-895D-27E4E132C906,1395000,29/08/2014,CB2 9DD,T,Y,F,,38,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/1C152A8A-473F-45E8-895D-27E4E132C906/2014-11-14603
755CA38C-16FD-464C-AB5A-359608CBC8EC,1450000,29/08/2014,CB2 9DD,T,Y,F,,39,NORTHROP ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/755CA38C-16FD-464C-AB5A-359608CBC8EC/2014-11-19402
84C4455B-2B51-42C4-84A9-A73A57583A0E,675000,29/07/2014,CB2 9DH,T,Y,F,,10,WILLERS LANE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/84C4455B-2B51-42C4-84A9-A73A57583A0E/2014-11-60525
BB94DB55-AFCD-4D7F-A37C-C81A1F10468B,665000,29/08/2014,CB2 9DH,T,Y,F,,12,WILLERS LANE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/BB94DB55-AFCD-4D7F-A37C-C81A1F10468B/2014-11-72396
1D436954-46CC-48A3-9B55-23D87CFD3715,680000,30/06/2014,CB2 9DH,T,Y,F,,2,WILLERS LANE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/1D436954-46CC-48A3-9B55-23D87CFD3715/2014-10-13112
07507F4A-E6B1-4699-9C2C-FFBD9D944E6C,675000,31/07/2014,CB2 9DH,T,Y,F,,4,WILLERS LANE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/07507F4A-E6B1-4699-9C2C-FFBD9D944E6C/2014-11-92404
81AA2DA9-9801-4619-AF0F-CCCF12B2407A,675000,30/06/2014,CB2 9DH,T,Y,F,,8,WILLERS LANE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/81AA2DA9-9801-4619-AF0F-CCCF12B2407A/2014-10-74717
42C07E4B-DC5B-4D83-8D2E-23157A32592D,2351000,01/05/2014,CB2 9HB,D,N,F,,GAZELEY HOUSE,GAZELEY ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/42C07E4B-DC5B-4D83-8D2E-23157A32592D/2014-06-09899
